cluster48.txt, honey
cluster94.txt, e port axed
cluster36.txt, price coffee whiskey
cluster88.txt, location icon
cluster42.txt, front weather activity
cluster81.txt, area adventurer book
cluster41.txt, activity area destination
cluster61.txt, price taxed player
cluster82.txt, translocation
cluster40.txt, d fodder grocery
cluster17.txt, flip slider
cluster84.txt, butter grocery store
cluster73.txt, film comedy a
cluster19.txt, price eu in
cluster33.txt, food quantity store
cluster102.txt, converter kilometer mile
cluster109.txt, doctor judge medical
cluster34.txt, distance s between
cluster1.txt, price recommended e
cluster18.txt, person account book
cluster25.txt, hospital process diagnostic
cluster69.txt, diagnostic organization process
cluster29.txt, care icon location
cluster12.txt, researcher address gan
cluster97.txt, occupation skilled country
cluster27.txt, title film price
cluster3.txt, food prepared price
cluster53.txt, map location s
cluster11.txt, missile government range
cluster43.txt, price ma x
cluster5.txt, price quantity free
cluster4.txt, surfing destination hiking
cluster0.txt, hotel city country
cluster76.txt, e tear account
cluster16.txt, funding missile government
cluster20.txt, arrow city figure
cluster8.txt, country time occupation
cluster32.txt, cola price ma
cluster45.txt, c carte g
cluster55.txt, publication publisher author
cluster106.txt, hotel luxury
cluster94.txt~, e port axed
cluster9.txt, media video title
cluster26.txt, retail store quantity
cluster7.txt, author book price
cluster35.txt, company address calculator
cluster87.txt, seeing sight national
cluster28.txt, care organization diagnostic
cluster31.txt, sports beach destination
cluster2.txt, price bicycle carp
cluster23.txt, scholarship government degree
cluster63.txt, player dvd m
cluster6.txt, clinic medical diagnostic
cluster14.txt, city code occupation
cluster66.txt, change internal polling
cluster10.txt, government funding lending
cluster30.txt, location address code
